ChrNbr	Length	Ploidy	Cytoband
chr1	248360435	100	chr1p36.33
chr2	242173530	100	chr2p36.33
chr3	198225560	100	chr3p36.33
chr4	190113122	100	chr4p36.33
chr5	181468260	100	chr5p36.33
chr6	170735980	100	chr6p36.33
chr7	159325974	100	chr7p36.33
chr8	145068637	100	chr8p36.33
chr9	138324718	100	chr9p36.33
chr10	133680467	100	chr10p36.33
chr11	135016623	100	chr11p36.33
chr12	133255310	100	chr12p36.33
chr13	95264915	100	chr13p36.13
chr14	87422006	100	chr14p36.13
chr15	78704316	100	chr15p36.12
chr16	90218346	100	chr16p36.33
chr17	82758455	100	chr17p36.33
chr18	80253286	100	chr18p36.33
chr19	58547617	100	chr19p36.33
chr20	64274168	100	chr20p36.33
chr21	33784176	100	chr21p36.21
chr22	35654151	100	chr22p36.21
chrX	152919904	100	chrXp36.32
chrY	23891736	100	chrYp36.32
